lambda,epsilon,S(epsilon),E_disc,lambda*E_disc,L(epsilon)
1e+19,0.0003038146387078996,8.099396552114573,3.35302441241793e-20,0.335302441241793,7.76409411087278
1e+19,0.0003130777283040571,8.069372093743615,3.340590452915762e-20,0.33405904529157615,7.7353130484520385
1e+19,0.00032262324283283616,8.039347917620791,3.3281564934135944e-20,0.33281564934135943,7.706532268279432
1e+19,0.00033245979322709415,8.009324032346091,3.315722533911426e-20,0.3315722533911426,7.677751778954949
1e+19,0.00034259625296083145,7.979300446781371,3.3032885744092583e-20,0.3303288574409258,7.648971589340445
1e+19,0.0003530417660538831,7.949277170058309,3.2908546149070903e-20,0.32908546149070905,7.6201917085676
1e+19,0.00036380575532066455,7.919254211586619,3.2784206554049223e-20,0.3278420655404922,7.591412146046126
1e+19,0.0003748979308704188,7.889231581062495,3.265986695902754e-20,0.32659866959027545,7.562632911472219
1e+19,0.00038632829886662835,7.859209288477329,3.253552736400587e-20,0.3253552736400587,7.533854014837271
1e+19,0.00039810717055349735,7.829187344126675,3.241118776898419e-20,0.3241118776898419,7.505075466436833
1e+19,0.0004102451715576402,7.799165758619501,3.228684817396251e-20,0.32286848173962507,7.476297276879876
1e+19,0.00042275325147337847,7.76914454288771,3.216250857894083e-20,0.3216250857894083,7.447519457098301
1e+19,0.00043564269374027977,7.739123708195957,3.203816898391915e-20,0.32038168983919146,7.418742018356766
1e+19,0.00044892512582186077,7.709103266151759,3.1913829388897474e-20,0.31913829388897474,7.389964972262784
1e+19,0.0004626125296946289,7.679083228715913,3.17894897938758e-20,0.317894897938758,7.361188330777155
1e+19,0.0004767172526569302,7.649063608213221,3.166515019885412e-20,0.3166515019885412,7.33241210622468
1e+19,0.0004912520184673452,7.619044417343562,3.1540810603832446e-20,0.3154081060383245,7.303636311305238
1e+19,0.0005062299388226953,7.589025669193268,3.1416471008810766e-20,0.31416471008810765,7.274860959105161
1e+19,0.0005216645251859962,7.559007377246874,3.129213141378908e-20,0.3129213141378908,7.246086063108983
1e+19,0.0005375697009750434,7.528989555399198,3.11677918187674e-20,0.311677918187674,7.217311637211524
1e+19,0.0005539598141226161,7.49897221796781,3.1043452223745725e-20,0.31043452223745727,7.188537695730353
1e+19,0.0005708496500196358,7.468955379705852,3.0919112628724045e-20,0.30919112628724044,7.1597642534186114
1e+19,0.0005882544448529452,7.438939055815275,3.079477303370237e-20,0.3079477303370237,7.13099132547825
1e+19,0.0006061898993497572,7.408923261960443,3.067043343868069e-20,0.3067043343868069,7.102218927573636
1e+19,0.0006246721929411512,7.3789080142821835,3.054609384365901e-20,0.3054609384365901,7.073447075845594
1e+19,0.0006437179983574121,7.348893329412229,3.042175424863733e-20,0.3042175424863733,7.044675786925856
1e+19,0.0006633444966683667,7.318879224488119,3.0297414653615656e-20,0.30297414653615656,7.015905077951962
1e+19,0.0006835693927822929,7.288865717168532,3.0173075058593976e-20,0.3017307505859398,6.987134966582592
1e+19,0.0007044109314173722,7.2588528256491065,3.00487354635723e-20,0.300487354635723,6.9583654710133835
1e+19,0.0007258879135601106,7.228840568678705,2.992439586855062e-20,0.29924395868550624,6.929596609993199
1e+19,0.0007480197134255545,7.1988289655761974,2.980005627352894e-20,0.2980005627352894,6.900828402840908
1e+19,0.0007708262959346186,7.168818036247736,2.967571667850726e-20,0.29675716678507263,6.872060869462664
1e+19,0.0007943282347242813,7.138807801204557,2.955137708348559e-20,0.29551377083485586,6.843294030369701
1e+19,0.0008185467307069029,7.108798281581305,2.94270374884639e-20,0.29427037488463903,6.814527906696666
1e+19,0.0008435036311953937,7.078789499154933,2.930269789344223e-20,0.29302697893442226,6.78576252022051
1e+19,0.0008692214496115088,7.048781476364148,2.917835829842055e-20,0.2917835829842055,6.756997893379943
1e+19,0.0008957233857950211,7.018774236329455,2.9054018703398867e-20,0.29054018703398865,6.728234049295467
1e+19,0.0009230333469321155,6.9887678028738,2.892967910837719e-20,0.28929679108377193,6.699471011790028
1e+19,0.0009511759691218704,6.9587622005438305,2.880533951335551e-20,0.2880533951335551,6.670708805410276
1e+19,0.0009801766396002906,6.928757454631798,2.868099991833384e-20,0.2868099991833384,6.641947455448459
1e+19,0.001010061519641925,6.898753591198123,2.855666032331216e-20,0.2855666032331216,6.613186987965001
1e+19,0.0010408575681597517,6.868750637094621,2.843232072829048e-20,0.2843232072829048,6.584427429811716
1e+19,0.0010725925660245931,6.838748619988451,2.83079811332688e-20,0.283079811332688,6.555668808655763
1e+19,0.0011052951411260222,6.808747568386753,2.818364153824712e-20,0.2818364153824712,6.526911153004282
1e+19,0.0011389947941973528,6.778747511662049,2.8059301943225444e-20,0.28059301943225445,6.498154492229794
1e+19,0.0011737219254280213,6.748748480078387,2.7934962348203764e-20,0.2793496234820376,6.469398856596349
1e+19,0.0012095078618873482,6.718750504818279,2.781062275318209e-20,0.2781062275318209,6.440644277286458
1e+19,0.0012463848857844474,6.6887536180104386,2.768628315816041e-20,0.2768628315816041,6.411890786428835
1e+19,0.001284386263589743,6.658757852758354,2.7561943563138723e-20,0.27561943563138724,6.3831384171269665
